KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 515
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 548
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 581
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 614
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 647
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 680
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 713
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 746
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 779
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 812
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 845
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 878
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 911
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 944
KEYPRESS DOWN LControlKey 02/07/2018 14:35:18 977
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 10
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 43
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 76
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 109
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 142
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 175
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 208
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 241
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 274
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 307
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 340
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 373
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 406
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 439
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 472
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 505
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 538
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 571
KEYPRESS DOWN LControlKey 02/07/2018 14:35:19 604
ExposeHK Hidden 02/07/2018 14:35:19 607
KEYPRESS UP LControlKey 02/07/2018 14:35:19 613
MOUSE Move {X=521,Y=353} 02/07/2018 14:35:19 672
MOUSE Move {X=521,Y=353} 02/07/2018 14:35:19 680
MOUSE Move {X=519,Y=354} 02/07/2018 14:35:19 688
MOUSE Move {X=517,Y=357} 02/07/2018 14:35:19 696
MOUSE Move {X=514,Y=365} 02/07/2018 14:35:19 704
MOUSE Move {X=510,Y=373} 02/07/2018 14:35:19 712
MOUSE Move {X=507,Y=384} 02/07/2018 14:35:19 720
MOUSE Move {X=503,Y=402} 02/07/2018 14:35:19 728
MOUSE Move {X=500,Y=416} 02/07/2018 14:35:19 736
MOUSE Move {X=495,Y=436} 02/07/2018 14:35:19 745
MOUSE Move {X=491,Y=452} 02/07/2018 14:35:19 753
MOUSE Move {X=487,Y=471} 02/07/2018 14:35:19 761
MOUSE Move {X=484,Y=485} 02/07/2018 14:35:19 769
MOUSE Move {X=481,Y=503} 02/07/2018 14:35:19 777
MOUSE Move {X=479,Y=515} 02/07/2018 14:35:19 785
MOUSE Move {X=478,Y=529} 02/07/2018 14:35:19 793
MOUSE Move {X=478,Y=537} 02/07/2018 14:35:19 801
MOUSE Move {X=478,Y=545} 02/07/2018 14:35:19 808
MOUSE Move {X=478,Y=551} 02/07/2018 14:35:19 816
MOUSE Move {X=479,Y=557} 02/07/2018 14:35:19 824
MOUSE Move {X=479,Y=560} 02/07/2018 14:35:19 833
MOUSE Move {X=481,Y=562} 02/07/2018 14:35:19 841
MOUSE Move {X=482,Y=563} 02/07/2018 14:35:19 849
MOUSE Move {X=482,Y=564} 02/07/2018 14:35:19 857
MOUSE Move {X=482,Y=565} 02/07/2018 14:35:19 864
MOUSE Move {X=482,Y=565} 02/07/2018 14:35:19 984
MOUSE Move {X=482,Y=565} 02/07/2018 14:35:19 993
MOUSE Move {X=482,Y=564} 02/07/2018 14:35:20 1
MOUSE Move {X=484,Y=562} 02/07/2018 14:35:20 8
