Timestamp;Participant;Aid;Phase;BlockID;Event
04/07/2018 17:05:54 887;Leon;ExposeHK;1;1;MOUSE Move {X=277,Y=293}
04/07/2018 17:05:54 895;Leon;ExposeHK;1;1;MOUSE Move {X=275,Y=293}
04/07/2018 17:05:54 903;Leon;ExposeHK;1;1;MOUSE Move {X=272,Y=293}
04/07/2018 17:05:54 911;Leon;ExposeHK;1;1;MOUSE Move {X=271,Y=293}
04/07/2018 17:05:54 919;Leon;ExposeHK;1;1;MOUSE Move {X=270,Y=293}
04/07/2018 17:05:54 927;Leon;ExposeHK;1;1;MOUSE Move {X=268,Y=293}
04/07/2018 17:05:54 935;Leon;ExposeHK;1;1;MOUSE Move {X=266,Y=293}
04/07/2018 17:05:54 943;Leon;ExposeHK;1;1;MOUSE Move {X=265,Y=293}
04/07/2018 17:05:54 951;Leon;ExposeHK;1;1;MOUSE Move {X=263,Y=293}
04/07/2018 17:05:54 959;Leon;ExposeHK;1;1;MOUSE Move {X=261,Y=293}
04/07/2018 17:05:54 967;Leon;ExposeHK;1;1;MOUSE Move {X=259,Y=293}
04/07/2018 17:05:54 976;Leon;ExposeHK;1;1;MOUSE Move {X=258,Y=293}
04/07/2018 17:05:54 983;Leon;ExposeHK;1;1;MOUSE Move {X=257,Y=293}
04/07/2018 17:05:54 991;Leon;ExposeHK;1;1;MOUSE Move {X=255,Y=293}
04/07/2018 17:05:54 999;Leon;ExposeHK;1;1;MOUSE Move {X=254,Y=293}
04/07/2018 17:05:55 7;Leon;ExposeHK;1;1;MOUSE Move {X=253,Y=293}
04/07/2018 17:05:55 15;Leon;ExposeHK;1;1;MOUSE Move {X=252,Y=293}
04/07/2018 17:05:55 23;Leon;ExposeHK;1;1;MOUSE Move {X=251,Y=293}
04/07/2018 17:05:55 31;Leon;ExposeHK;1;1;MOUSE Move {X=250,Y=293}
04/07/2018 17:05:55 39;Leon;ExposeHK;1;1;MOUSE Move {X=249,Y=293}
04/07/2018 17:05:55 47;Leon;ExposeHK;1;1;MOUSE Move {X=248,Y=293}
04/07/2018 17:05:55 55;Leon;ExposeHK;1;1;MOUSE Move {X=248,Y=293}
04/07/2018 17:05:55 63;Leon;ExposeHK;1;1;MOUSE Move {X=247,Y=293}
04/07/2018 17:05:55 71;Leon;ExposeHK;1;1;MOUSE Move {X=247,Y=293}
04/07/2018 17:05:55 79;Leon;ExposeHK;1;1;MOUSE Move {X=246,Y=293}
04/07/2018 17:05:55 87;Leon;ExposeHK;1;1;MOUSE Move {X=246,Y=293}
04/07/2018 17:05:55 95;Leon;ExposeHK;1;1;MOUSE Move {X=245,Y=293}
04/07/2018 17:05:55 109;Leon;ExposeHK;1;1;Text Selection MOUSE Apple iPhone 5 buzz builds as focus shifts
04/07/2018 17:05:55 109;Leon;ExposeHK;1;1;MOUSE Move {X=244,Y=293}
04/07/2018 17:05:55 111;Leon;ExposeHK;1;1;MOUSE Move {X=243,Y=293}
04/07/2018 17:05:55 119;Leon;ExposeHK;1;1;MOUSE Move {X=243,Y=293}
04/07/2018 17:05:55 127;Leon;ExposeHK;1;1;MOUSE Move {X=241,Y=293}
04/07/2018 17:05:55 135;Leon;ExposeHK;1;1;MOUSE Move {X=240,Y=293}
04/07/2018 17:05:55 143;Leon;ExposeHK;1;1;MOUSE Move {X=239,Y=293}
04/07/2018 17:05:55 151;Leon;ExposeHK;1;1;MOUSE Move {X=238,Y=293}
04/07/2018 17:05:55 159;Leon;ExposeHK;1;1;MOUSE Move {X=238,Y=293}
04/07/2018 17:05:55 167;Leon;ExposeHK;1;1;MOUSE Move {X=236,Y=293}
04/07/2018 17:05:55 175;Leon;ExposeHK;1;1;MOUSE Move {X=236,Y=293}
04/07/2018 17:05:55 183;Leon;ExposeHK;1;1;MOUSE Move {X=235,Y=293}
04/07/2018 17:05:55 191;Leon;ExposeHK;1;1;MOUSE Move {X=234,Y=293}
04/07/2018 17:05:55 199;Leon;ExposeHK;1;1;MOUSE Move {X=233,Y=293}
04/07/2018 17:05:55 207;Leon;ExposeHK;1;1;MOUSE Move {X=231,Y=293}
04/07/2018 17:05:55 215;Leon;ExposeHK;1;1;MOUSE Move {X=230,Y=293}
04/07/2018 17:05:55 217;Leon;ExposeHK;1;1;MOUSE release {X=230,Y=293}
