Focus Gained 13/06/2018 14:54:44 800
MOUSE Move {X=1253,Y=204} 13/06/2018 14:54:46 806
MOUSE Move {X=1263,Y=203} 13/06/2018 14:54:46 814
MOUSE Move {X=1270,Y=201} 13/06/2018 14:54:46 822
MOUSE Move {X=1277,Y=200} 13/06/2018 14:54:46 830
MOUSE Move {X=1283,Y=199} 13/06/2018 14:54:46 838
MOUSE Move {X=1289,Y=198} 13/06/2018 14:54:46 848
MOUSE Move {X=1293,Y=197} 13/06/2018 14:54:46 854
MOUSE Move {X=1295,Y=196} 13/06/2018 14:54:46 864
MOUSE Move {X=1297,Y=196} 13/06/2018 14:54:46 871
MOUSE Move {X=1297,Y=196} 13/06/2018 14:54:46 878
MOUSE Move {X=1298,Y=196} 13/06/2018 14:54:46 886
MOUSE Move {X=1298,Y=196} 13/06/2018 14:54:46 926
MOUSE Move {X=1298,Y=196} 13/06/2018 14:54:46 950
MOUSE Move {X=1298,Y=196} 13/06/2018 14:54:46 999
MOUSE Move {X=1298,Y=196} 13/06/2018 14:54:47 7
MOUSE Move {X=1301,Y=196} 13/06/2018 14:54:47 14
MOUSE Move {X=1305,Y=194} 13/06/2018 14:54:47 22
MOUSE Move {X=1314,Y=190} 13/06/2018 14:54:47 30
MOUSE Move {X=1326,Y=184} 13/06/2018 14:54:47 39
MOUSE Move {X=1342,Y=179} 13/06/2018 14:54:47 47
MOUSE Move {X=1354,Y=176} 13/06/2018 14:54:47 66
MOUSE Move {X=1372,Y=172} 13/06/2018 14:54:47 66
MOUSE Move {X=1386,Y=170} 13/06/2018 14:54:47 83
MOUSE Move {X=1435,Y=165} 13/06/2018 14:54:47 100
MOUSE Move {X=1452,Y=165} 13/06/2018 14:54:47 102
MOUSE Move {X=1469,Y=165} 13/06/2018 14:54:47 116
MOUSE Move {X=1482,Y=165} 13/06/2018 14:54:47 118
MOUSE Move {X=1496,Y=165} 13/06/2018 14:54:47 126
MOUSE Move {X=1508,Y=165} 13/06/2018 14:54:47 134
MOUSE Move {X=1518,Y=165} 13/06/2018 14:54:47 142
MOUSE Move {X=1526,Y=165} 13/06/2018 14:54:47 150
MOUSE Move {X=1531,Y=165} 13/06/2018 14:54:47 158
MOUSE Move {X=1534,Y=165} 13/06/2018 14:54:47 166
MOUSE Move {X=1536,Y=165} 13/06/2018 14:54:47 174
MOUSE Move {X=1536,Y=165} 13/06/2018 14:54:47 182
MOUSE Move {X=1536,Y=165} 13/06/2018 14:54:47 222
MOUSE Move {X=1536,Y=165} 13/06/2018 14:54:47 230
MOUSE Move {X=1535,Y=166} 13/06/2018 14:54:47 238
MOUSE Move {X=1534,Y=170} 13/06/2018 14:54:47 247
MOUSE Move {X=1531,Y=172} 13/06/2018 14:54:47 255
MOUSE Move {X=1530,Y=175} 13/06/2018 14:54:47 263
MOUSE Move {X=1527,Y=180} 13/06/2018 14:54:47 275
MOUSE Move {X=1525,Y=184} 13/06/2018 14:54:47 283
MOUSE Move {X=1523,Y=186} 13/06/2018 14:54:47 286
MOUSE Move {X=1523,Y=187} 13/06/2018 14:54:47 295
MOUSE Move {X=1523,Y=188} 13/06/2018 14:54:47 302
MOUSE Move {X=1522,Y=188} 13/06/2018 14:54:47 382
MOUSE Move {X=1522,Y=188} 13/06/2018 14:54:47 391
MOUSE Move {X=1521,Y=188} 13/06/2018 14:54:47 398
MOUSE Move {X=1520,Y=188} 13/06/2018 14:54:47 406
MOUSE Move {X=1519,Y=188} 13/06/2018 14:54:47 414
MOUSE Move {X=1517,Y=188} 13/06/2018 14:54:47 423
MOUSE Move {X=1516,Y=188} 13/06/2018 14:54:47 430
MOUSE Move {X=1513,Y=187} 13/06/2018 14:54:47 438
MOUSE Move {X=1511,Y=187} 13/06/2018 14:54:47 446
MOUSE Move {X=1508,Y=185} 13/06/2018 14:54:47 454
MOUSE Move {X=1506,Y=184} 13/06/2018 14:54:47 462
MOUSE Move {X=1502,Y=183} 13/06/2018 14:54:47 470
MOUSE Move {X=1500,Y=183} 13/06/2018 14:54:47 480
MOUSE Move {X=1497,Y=183} 13/06/2018 14:54:47 486
MOUSE Move {X=1495,Y=183} 13/06/2018 14:54:47 494
MOUSE Move {X=1494,Y=183} 13/06/2018 14:54:47 502
MOUSE Move {X=1491,Y=183} 13/06/2018 14:54:47 517
MOUSE Move {X=1490,Y=183} 13/06/2018 14:54:47 534
MOUSE Move {X=1488,Y=183} 13/06/2018 14:54:47 535
MOUSE Move {X=1487,Y=183} 13/06/2018 14:54:47 551
MOUSE Move {X=1486,Y=183} 13/06/2018 14:54:47 552
MOUSE Move {X=1486,Y=183} 13/06/2018 14:54:47 558
MOUSE Move {X=1485,Y=183} 13/06/2018 14:54:47 566
MOUSE Move {X=1485,Y=183} 13/06/2018 14:54:47 574
MOUSE Move {X=1485,Y=184} 13/06/2018 14:54:47 598
MOUSE Move {X=1484,Y=184} 13/06/2018 14:54:47 608
MOUSE Move {X=1484,Y=185} 13/06/2018 14:54:47 630
MOUSE Move {X=1484,Y=185} 13/06/2018 14:54:47 638
MOUSE Move {X=1483,Y=185} 13/06/2018 14:54:47 647
MOUSE Move {X=1482,Y=186} 13/06/2018 14:54:47 655
MOUSE Move {X=1482,Y=187} 13/06/2018 14:54:47 662
MOUSE Move {X=1481,Y=188} 13/06/2018 14:54:47 670
MOUSE Move {X=1480,Y=188} 13/06/2018 14:54:47 678
MOUSE Move {X=1479,Y=189} 13/06/2018 14:54:47 686
MOUSE Move {X=1479,Y=190} 13/06/2018 14:54:47 694
MOUSE Move {X=1477,Y=190} 13/06/2018 14:54:47 702
MOUSE Move {X=1476,Y=190} 13/06/2018 14:54:47 710
MOUSE Move {X=1475,Y=191} 13/06/2018 14:54:47 718
MOUSE Move {X=1474,Y=191} 13/06/2018 14:54:47 726
MOUSE Move {X=1473,Y=192} 13/06/2018 14:54:47 735
MOUSE Move {X=1472,Y=192} 13/06/2018 14:54:47 742
MOUSE Move {X=1471,Y=193} 13/06/2018 14:54:47 750
MOUSE Move {X=1471,Y=193} 13/06/2018 14:54:47 758
MOUSE Move {X=1470,Y=193} 13/06/2018 14:54:47 766
MOUSE Move {X=1470,Y=193} 13/06/2018 14:54:47 782
MOUSE click {X=1470,Y=193} 13/06/2018 14:54:47 822
MOUSE Move {X=1470,Y=193} 13/06/2018 14:54:47 823
MOUSE release {X=1470,Y=193} 13/06/2018 14:54:47 942
MOUSE Move {X=1470,Y=193} 13/06/2018 14:54:47 943
Focus Lost 13/06/2018 14:54:47 962
