Timestamp;Participant;Aid;Phase;BlockID;Event
16/07/2018 12:54:28 852;Leon;ExposeKeyboard;2;1;MOUSE Move {X=252,Y=286}
16/07/2018 12:54:28 860;Leon;ExposeKeyboard;2;1;MOUSE Move {X=252,Y=286}
16/07/2018 12:54:28 868;Leon;ExposeKeyboard;2;1;MOUSE Move {X=251,Y=286}
16/07/2018 12:54:28 876;Leon;ExposeKeyboard;2;1;MOUSE Move {X=249,Y=286}
16/07/2018 12:54:28 884;Leon;ExposeKeyboard;2;1;MOUSE Move {X=249,Y=286}
16/07/2018 12:54:28 899;Leon;ExposeKeyboard;2;1;MOUSE Move {X=248,Y=286}
16/07/2018 12:54:28 900;Leon;ExposeKeyboard;2;1;MOUSE Move {X=245,Y=286}
16/07/2018 12:54:28 914;Leon;ExposeKeyboard;2;1;Text Selection MOUSE Apple iPhone 5 buzz builds as focus shifts
16/07/2018 12:54:28 915;Leon;ExposeKeyboard;2;1;MOUSE Move {X=244,Y=286}
16/07/2018 12:54:28 916;Leon;ExposeKeyboard;2;1;MOUSE Move {X=242,Y=286}
16/07/2018 12:54:28 924;Leon;ExposeKeyboard;2;1;MOUSE Move {X=241,Y=286}
16/07/2018 12:54:28 932;Leon;ExposeKeyboard;2;1;MOUSE Move {X=239,Y=286}
16/07/2018 12:54:28 940;Leon;ExposeKeyboard;2;1;MOUSE Move {X=238,Y=286}
16/07/2018 12:54:28 948;Leon;ExposeKeyboard;2;1;MOUSE Move {X=237,Y=286}
16/07/2018 12:54:28 956;Leon;ExposeKeyboard;2;1;MOUSE Move {X=236,Y=286}
16/07/2018 12:54:28 964;Leon;ExposeKeyboard;2;1;MOUSE Move {X=235,Y=286}
16/07/2018 12:54:28 972;Leon;ExposeKeyboard;2;1;MOUSE Move {X=235,Y=286}
16/07/2018 12:54:28 980;Leon;ExposeKeyboard;2;1;MOUSE Move {X=234,Y=286}
16/07/2018 12:54:28 988;Leon;ExposeKeyboard;2;1;MOUSE Move {X=234,Y=286}
16/07/2018 12:54:28 996;Leon;ExposeKeyboard;2;1;MOUSE Move {X=233,Y=286}
16/07/2018 12:54:29 4;Leon;ExposeKeyboard;2;1;MOUSE Move {X=233,Y=286}
16/07/2018 12:54:29 12;Leon;ExposeKeyboard;2;1;MOUSE Move {X=232,Y=286}
16/07/2018 12:54:29 20;Leon;ExposeKeyboard;2;1;MOUSE Move {X=231,Y=286}
16/07/2018 12:54:29 28;Leon;ExposeKeyboard;2;1;MOUSE Move {X=231,Y=286}
16/07/2018 12:54:29 36;Leon;ExposeKeyboard;2;1;MOUSE Move {X=230,Y=286}
16/07/2018 12:54:29 44;Leon;ExposeKeyboard;2;1;MOUSE Move {X=229,Y=286}
16/07/2018 12:54:29 52;Leon;ExposeKeyboard;2;1;MOUSE Move {X=228,Y=286}
16/07/2018 12:54:29 60;Leon;ExposeKeyboard;2;1;MOUSE Move {X=227,Y=286}
16/07/2018 12:54:29 68;Leon;ExposeKeyboard;2;1;MOUSE Move {X=227,Y=286}
16/07/2018 12:54:29 76;Leon;ExposeKeyboard;2;1;MOUSE Move {X=226,Y=286}
16/07/2018 12:54:29 84;Leon;ExposeKeyboard;2;1;MOUSE Move {X=225,Y=286}
16/07/2018 12:54:29 92;Leon;ExposeKeyboard;2;1;MOUSE Move {X=224,Y=286}
16/07/2018 12:54:29 100;Leon;ExposeKeyboard;2;1;MOUSE Move {X=224,Y=286}
16/07/2018 12:54:29 108;Leon;ExposeKeyboard;2;1;MOUSE Move {X=223,Y=286}
16/07/2018 12:54:29 116;Leon;ExposeKeyboard;2;1;MOUSE Move {X=222,Y=286}
16/07/2018 12:54:29 124;Leon;ExposeKeyboard;2;1;MOUSE Move {X=222,Y=286}
16/07/2018 12:54:29 140;Leon;ExposeKeyboard;2;1;MOUSE Move {X=221,Y=286}
16/07/2018 12:54:29 593;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 93;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 96;Leon;ExposeKeyboard;2;1;Focus Lost
16/07/2018 12:54:30 132;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 164;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 200;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 224;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 264;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 290;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 323;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 356;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 389;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 422;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 455;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
